Element,Percentage of Players
algae,23.2
allergy,0.9
aquarium,4.5
archipelago,3.6
ash,18.8
atmosphere,14.3
atomic bomb,11.6
bacteria,0.9
bayonet,0.9
beach,7.1
bird,0.9
blade,5.4
blender,0.9
boiler,3.6
brick,42.9
bullet,5.4
cactus,0.9
city,12.5
clay,2.7
cloud,45.5
coal,1.8
cold,0.9
cotton,1.8
dam,0.9
day,4.5
desert,3.6
dew,4.5
dune,4.5
dust,78.6
dynamite,0.9
earthquake,40.2
electricity,8.0
energy,72.3
excalibur,0.9
explosion,21.4
farmer,0.9
field,0.9
fireman,0.9
fireworks,0.9
flamethrower,1.8
flood,21.4
flower,5.4
fog,12.5
garden,15.2
geyser,33.0
glass,5.4
glasses,2.7
gold,0.9
granite,6.2
grass,18.8
grenade,2.7
gun,5.4
gunpowder,42.9
hay,0.9
horizon,8.0
hourglass,1.8
house,13.4
human,1.8
hurricane,21.4
isle,5.4
lake,1.8
lava,89.3
life,2.7
light bulb,0.9
love,0.9
metal,17.0
moss,4.5
mountain,20.5
mountain range,6.2
mud,80.4
needle,0.9
oasis,1.8
obsidian,52.7
ocean,21.4
paint,0.9
plankton,1.8
plant,34.8
pond,3.6
pressure,37.5
rain,85.7
rainbow,1.8
river,12.5
rust,1.8
salt,17.9
sand,11.6
sandstone,0.9
sandstorm,1.8
scissors,2.7
scythe,0.9
sea,35.7
sky,28.6
sound,0.9
steam,91.1
stone,34.8
storm,15.2
sun,6.2
sunglasses,0.9
swamp,15.2
sword,2.7
tobacco,17.0
tsunami,7.1
village,13.4
volcano,47.3
wall,15.2
water gun,1.8
waterfall,3.6
wave,5.4
wheat,0.9
wind,38.4
windmill,2.7
wire,5.4
wizard,1.8
